item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
6a774f9940 S 040;6a774f9940;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
650bc4fda5 S 040;650bc4fda5;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
4142011d73 S 040;4142011d73;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
09fdbed5c1 S 040;09fdbed5c1;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
16f04204a2 S 040;16f04204a2;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
b91802ef77 S 040;b91802ef77;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
8a149fa733 S 040;8a149fa733;30X60;0;S 040;300;600;9;7;23,45;300;600;63;2;20;300;600;144,9;46,9;F;40;601;800;1200;938;134
4bd796869e N 035;4bd796869e;60X120;0;N 035;600;1200;9;2;30;600;1200;18;5;7;600;1200;103,5;150;X;35;601;910;1240;1050;139
22a87d8d1d S 015;22a87d8d1d;60X120;1;S 015;600;1200;9;2;35;600;1200;18;3;5;600;1200;62,1;105;A;15;339;630;1230;525;161
22a87d8d1d N 035;22a87d8d1d;60X120;1;N 035;600;1200;9;2;35;600;1200;18;5;7;600;1200;103,5;175;X;35;601;910;1240;1225;139
9b60e87053 N 036;9b60e87053;45X90;0;N 036;450;900;9;3;24,6;450;900;27;0;inf;450;900;0;0;9;36;-134;800;1200;885,6;134
9b60e87053 S 036;9b60e87053;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
